task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_1,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_1,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_10,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_12,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_12,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_13,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_13,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_15,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_15,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_16,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_16,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_17,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_17,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_19,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_19,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_2,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_2,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_21,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_21,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_22,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_22,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_23,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_23,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_24,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_24,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_27,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_27,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_28,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_28,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_3,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_3,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_5,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_5,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_7,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_7,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_table_9,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,table_9,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_10,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_12,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_12,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_14,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_14,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_15,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_15,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_17,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_17,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_18,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_18,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_19,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_19,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_2,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_2,
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_tb_20,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Background Textures,,,,,,,tb_20,
