task_name,base_task,category,layout
open_the_top_drawer_and_put_the_bowl_inside_moved_level1_sample1,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level1_sample1
open_the_top_drawer_and_put_the_bowl_inside_moved_level1_sample2,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level1_sample2
open_the_top_drawer_and_put_the_bowl_inside_moved_level1_sample4,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level1_sample4
open_the_top_drawer_and_put_the_bowl_inside_moved_level2_sample1,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level2_sample1
open_the_top_drawer_and_put_the_bowl_inside_moved_level2_sample3,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level2_sample3
open_the_top_drawer_and_put_the_bowl_inside_moved_level2_sample4,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level2_sample4
open_the_top_drawer_and_put_the_bowl_inside_moved_level3_sample1,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level3_sample1
open_the_top_drawer_and_put_the_bowl_inside_moved_level3_sample2,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level3_sample2
open_the_top_drawer_and_put_the_bowl_inside_moved_level3_sample3,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level3_sample3
open_the_top_drawer_and_put_the_bowl_inside_moved_level3_sample4,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level3_sample4
open_the_top_drawer_and_put_the_bowl_inside_moved_level4_sample1,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level4_sample1
open_the_top_drawer_and_put_the_bowl_inside_moved_level4_sample2,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level4_sample2
open_the_top_drawer_and_put_the_bowl_inside_moved_level4_sample3,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level4_sample3
open_the_top_drawer_and_put_the_bowl_inside_moved_level4_sample4,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level4_sample4
open_the_top_drawer_and_put_the_bowl_inside_moved_level5_sample1,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level5_sample1
open_the_top_drawer_and_put_the_bowl_inside_moved_level5_sample2,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level5_sample2
open_the_top_drawer_and_put_the_bowl_inside_moved_level5_sample3,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level5_sample3
open_the_top_drawer_and_put_the_bowl_inside_moved_level5_sample4,open_the_top_drawer_and_put_the_bowl_inside_moved,Objects Layout,level5_sample4
