task_name,base_task,category,add,initstate,language,light,noise,table,view
push_the_plate_to_the_front_of_the_stove_table_12,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_12,
push_the_plate_to_the_front_of_the_stove_table_14,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_14,
push_the_plate_to_the_front_of_the_stove_table_15,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_15,
push_the_plate_to_the_front_of_the_stove_table_17,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_17,
push_the_plate_to_the_front_of_the_stove_table_19,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_19,
push_the_plate_to_the_front_of_the_stove_table_2,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_2,
push_the_plate_to_the_front_of_the_stove_table_22,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_22,
push_the_plate_to_the_front_of_the_stove_table_23,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_23,
push_the_plate_to_the_front_of_the_stove_table_24,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_24,
push_the_plate_to_the_front_of_the_stove_table_25,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_25,
push_the_plate_to_the_front_of_the_stove_table_26,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_26,
push_the_plate_to_the_front_of_the_stove_table_27,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_27,
push_the_plate_to_the_front_of_the_stove_table_3,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_3,
push_the_plate_to_the_front_of_the_stove_table_4,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_4,
push_the_plate_to_the_front_of_the_stove_table_6,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_6,
push_the_plate_to_the_front_of_the_stove_table_7,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_7,
push_the_plate_to_the_front_of_the_stove_table_8,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_8,
push_the_plate_to_the_front_of_the_stove_table_9,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,table_9,
push_the_plate_to_the_front_of_the_stove_tb_1,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_1,
push_the_plate_to_the_front_of_the_stove_tb_12,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_12,
push_the_plate_to_the_front_of_the_stove_tb_16,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_16,
push_the_plate_to_the_front_of_the_stove_tb_17,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_17,
push_the_plate_to_the_front_of_the_stove_tb_19,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_19,
push_the_plate_to_the_front_of_the_stove_tb_21,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_21,
push_the_plate_to_the_front_of_the_stove_tb_22,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_22,
push_the_plate_to_the_front_of_the_stove_tb_7,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_7,
push_the_plate_to_the_front_of_the_stove_tb_9,push_the_plate_to_the_front_of_the_stove,Background Textures,,,,,,tb_9,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_6,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_6,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_16,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_16,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_106,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_106,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_116,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_116,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_126,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_126,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_136,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_136,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_146,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_146,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_156,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_156,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_176,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_176,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_186,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_186,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_196,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_196,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_206,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_206,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_216,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_216,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_226,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_226,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_236,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_236,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_246,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_246,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_256,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_256,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_266,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_266,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_276,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_276,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_286,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_286,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_296,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_296,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_306,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_306,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_316,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_316,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_326,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_326,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_336,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_336,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_356,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_356,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_366,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_366,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_376,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_376,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_386,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_386,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_396,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_396,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_406,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_406,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_416,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_416,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_426,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_426,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_436,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_436,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_446,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_446,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_456,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_456,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_466,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_466,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_476,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_476,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_486,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_486,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_100_0_0_initstate_496,push_the_plate_to_the_front_of_the_stove,Robot Initial States,,initstate_496,,,,,
push_the_plate_to_the_front_of_the_stove_view_0_0_151_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_151_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_152_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_152_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_153_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_153_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_154_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_154_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_155_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_155_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_156_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_156_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_157_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_157_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_158_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_158_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_159_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_159_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_160_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_160_0_0
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_4_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_4
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_6_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_6
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_8_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_8
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_10_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_10
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_350_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_350
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_352_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_352
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_354_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_354
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_356_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_356
push_the_plate_to_the_front_of_the_stove_view_0_0_100_350_358_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_0_0_100_350_358
push_the_plate_to_the_front_of_the_stove_view_285_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_285_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_285_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_285_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_286_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_286_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_286_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_286_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_287_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_287_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_287_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_287_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_288_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_288_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_288_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_288_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_289_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_289_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_289_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_289_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_290_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_290_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_290_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_290_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_291_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_291_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_291_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_291_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_292_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_292_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_292_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_292_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_293_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_293_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_293_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_293_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_294_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_294_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_294_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_294_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_295_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_295_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_295_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_295_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_296_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_296_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_296_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_296_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_297_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_297_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_297_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_297_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_298_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_298_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_298_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_298_15_100_0_0
push_the_plate_to_the_front_of_the_stove_view_299_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_299_0_100_0_0
push_the_plate_to_the_front_of_the_stove_view_299_15_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Camera Viewpoints,,,,,,,view_299_15_100_0_0
push_the_plate_to_the_front_of_the_stove_language_1_view_0_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Language Instructions,,,language_1,,,,
push_the_plate_to_the_front_of_the_stove_language_2_view_0_0_100_0_0_initstate_0,push_the_plate_to_the_front_of_the_stove,Language Instructions,,,language_2,,,,
