task_name,base_task,category,add,initstate,language,light,noise,table,view
put_the_bowl_on_top_of_the_cabinet_table_1,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_1,
put_the_bowl_on_top_of_the_cabinet_table_10,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_10,
put_the_bowl_on_top_of_the_cabinet_table_12,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_12,
put_the_bowl_on_top_of_the_cabinet_table_13,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_13,
put_the_bowl_on_top_of_the_cabinet_table_19,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_19,
put_the_bowl_on_top_of_the_cabinet_table_3,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_3,
put_the_bowl_on_top_of_the_cabinet_table_9,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,table_9,
put_the_bowl_on_top_of_the_cabinet_tb_1,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_1,
put_the_bowl_on_top_of_the_cabinet_tb_19,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_19,
put_the_bowl_on_top_of_the_cabinet_tb_2,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_2,
put_the_bowl_on_top_of_the_cabinet_tb_20,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_20,
put_the_bowl_on_top_of_the_cabinet_tb_21,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_21,
put_the_bowl_on_top_of_the_cabinet_tb_3,put_the_bowl_on_top_of_the_cabinet,Background Textures,,,,,,tb_3,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_15,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_15,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_55,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_55,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_65,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_65,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_95,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_95,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_105,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_105,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_115,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_115,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_125,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_125,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_135,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_135,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_145,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_145,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_165,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_165,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_175,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_175,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_185,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_185,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_195,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_195,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_205,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_205,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_215,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_215,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_225,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_225,,,,,
put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_235,put_the_bowl_on_top_of_the_cabinet,Robot Initial States,,initstate_235,,,,,
