task_name,base_task,category,add,initstate,language,light,noise,table,view
put_the_cream_cheese_in_the_bowl_table_1,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_1,
put_the_cream_cheese_in_the_bowl_table_11,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_11,
put_the_cream_cheese_in_the_bowl_table_12,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_12,
put_the_cream_cheese_in_the_bowl_table_13,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_13,
put_the_cream_cheese_in_the_bowl_table_21,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_21,
put_the_cream_cheese_in_the_bowl_table_22,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_22,
put_the_cream_cheese_in_the_bowl_table_23,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_23,
put_the_cream_cheese_in_the_bowl_table_26,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_26,
put_the_cream_cheese_in_the_bowl_table_27,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_27,
put_the_cream_cheese_in_the_bowl_table_3,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_3,
put_the_cream_cheese_in_the_bowl_table_4,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_4,
put_the_cream_cheese_in_the_bowl_table_5,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_5,
put_the_cream_cheese_in_the_bowl_table_7,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_7,
put_the_cream_cheese_in_the_bowl_table_8,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_8,
put_the_cream_cheese_in_the_bowl_table_9,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,table_9,
put_the_cream_cheese_in_the_bowl_tb_1,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_1,
put_the_cream_cheese_in_the_bowl_tb_10,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_10,
put_the_cream_cheese_in_the_bowl_tb_11,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_11,
put_the_cream_cheese_in_the_bowl_tb_12,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_12,
put_the_cream_cheese_in_the_bowl_tb_13,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_13,
put_the_cream_cheese_in_the_bowl_tb_14,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_14,
put_the_cream_cheese_in_the_bowl_tb_15,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_15,
put_the_cream_cheese_in_the_bowl_tb_16,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_16,
put_the_cream_cheese_in_the_bowl_tb_17,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_17,
put_the_cream_cheese_in_the_bowl_tb_18,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_18,
put_the_cream_cheese_in_the_bowl_tb_19,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_19,
put_the_cream_cheese_in_the_bowl_tb_20,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_20,
put_the_cream_cheese_in_the_bowl_tb_21,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_21,
put_the_cream_cheese_in_the_bowl_tb_22,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_22,
put_the_cream_cheese_in_the_bowl_tb_6,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_6,
put_the_cream_cheese_in_the_bowl_tb_8,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_8,
put_the_cream_cheese_in_the_bowl_tb_9,put_the_cream_cheese_in_the_bowl,Background Textures,,,,,,tb_9,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_7,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_7,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_17,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_17,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_27,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_27,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_47,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_47,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_57,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_57,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_67,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_67,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_77,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_77,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_87,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_87,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_97,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_97,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_107,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_107,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_117,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_117,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_127,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_127,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_137,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_137,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_147,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_147,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_157,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_157,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_167,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_167,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_177,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_177,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_187,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_187,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_197,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_197,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_207,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_207,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_217,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_217,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_237,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_237,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_247,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_247,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_257,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_257,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_267,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_267,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_277,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_277,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_287,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_287,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_297,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_297,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_307,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_307,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_317,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_317,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_337,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_337,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_347,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_347,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_357,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_357,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_367,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_367,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_377,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_377,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_387,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_387,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_397,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_397,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_407,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_407,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_417,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_417,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_427,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_427,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_437,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_437,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_447,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_447,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_457,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_457,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_467,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_467,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_477,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_477,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_487,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_487,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_497,put_the_cream_cheese_in_the_bowl,Robot Initial States,,initstate_497,,,,,
put_the_cream_cheese_in_the_bowl_view_0_0_161_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_161_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_162_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_162_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_163_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_163_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_164_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_164_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_165_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_165_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_166_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_166_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_167_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_167_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_168_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_168_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_169_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_169_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_170_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_170_0_0
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_2_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_2
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_4_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_4
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_6_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_6
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_8_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_8
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_10_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_10
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_350_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_350
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_352_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_352
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_354_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_354
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_356_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_356
put_the_cream_cheese_in_the_bowl_view_0_0_100_352_358_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_0_0_100_352_358
put_the_cream_cheese_in_the_bowl_view_300_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_300_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_300_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_300_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_301_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_301_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_301_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_301_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_302_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_302_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_302_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_302_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_303_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_303_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_303_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_303_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_304_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_304_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_304_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_304_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_305_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_305_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_305_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_305_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_306_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_306_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_306_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_306_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_307_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_307_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_307_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_307_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_308_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_308_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_308_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_308_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_309_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_309_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_309_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_309_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_310_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_310_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_310_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_310_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_311_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_311_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_311_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_311_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_312_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_312_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_313_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_313_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_313_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_313_15_100_0_0
put_the_cream_cheese_in_the_bowl_view_314_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_314_0_100_0_0
put_the_cream_cheese_in_the_bowl_view_314_15_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Camera Viewpoints,,,,,,,view_314_15_100_0_0
put_the_cream_cheese_in_the_bowl_language_1_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_1,,,,
put_the_cream_cheese_in_the_bowl_language_2_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_2,,,,
put_the_cream_cheese_in_the_bowl_language_4_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_4,,,,
put_the_cream_cheese_in_the_bowl_language_5_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_5,,,,
put_the_cream_cheese_in_the_bowl_language_6_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_6,,,,
put_the_cream_cheese_in_the_bowl_language_7_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_7,,,,
put_the_cream_cheese_in_the_bowl_language_8_view_0_0_100_0_0_initstate_0,put_the_cream_cheese_in_the_bowl,Language Instructions,,,language_8,,,,
