task_name,base_task,category,add,initstate,language,light,noise,table,view
put_the_wine_bottle_on_the_rack_table_1,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_1,
put_the_wine_bottle_on_the_rack_table_10,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_10,
put_the_wine_bottle_on_the_rack_table_11,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_11,
put_the_wine_bottle_on_the_rack_table_12,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_12,
put_the_wine_bottle_on_the_rack_table_13,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_13,
put_the_wine_bottle_on_the_rack_table_14,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_14,
put_the_wine_bottle_on_the_rack_table_15,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_15,
put_the_wine_bottle_on_the_rack_table_16,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_16,
put_the_wine_bottle_on_the_rack_table_17,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_17,
put_the_wine_bottle_on_the_rack_table_18,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_18,
put_the_wine_bottle_on_the_rack_table_19,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_19,
put_the_wine_bottle_on_the_rack_table_2,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_2,
put_the_wine_bottle_on_the_rack_table_20,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_20,
put_the_wine_bottle_on_the_rack_table_22,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_22,
put_the_wine_bottle_on_the_rack_table_23,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_23,
put_the_wine_bottle_on_the_rack_table_24,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_24,
put_the_wine_bottle_on_the_rack_table_25,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_25,
put_the_wine_bottle_on_the_rack_table_26,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_26,
put_the_wine_bottle_on_the_rack_table_27,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_27,
put_the_wine_bottle_on_the_rack_table_28,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_28,
put_the_wine_bottle_on_the_rack_table_3,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_3,
put_the_wine_bottle_on_the_rack_table_5,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_5,
put_the_wine_bottle_on_the_rack_table_6,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_6,
put_the_wine_bottle_on_the_rack_table_7,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_7,
put_the_wine_bottle_on_the_rack_table_8,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_8,
put_the_wine_bottle_on_the_rack_table_9,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,table_9,
put_the_wine_bottle_on_the_rack_tb_1,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_1,
put_the_wine_bottle_on_the_rack_tb_10,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_10,
put_the_wine_bottle_on_the_rack_tb_11,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_11,
put_the_wine_bottle_on_the_rack_tb_12,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_12,
put_the_wine_bottle_on_the_rack_tb_13,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_13,
put_the_wine_bottle_on_the_rack_tb_14,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_14,
put_the_wine_bottle_on_the_rack_tb_15,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_15,
put_the_wine_bottle_on_the_rack_tb_16,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_16,
put_the_wine_bottle_on_the_rack_tb_17,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_17,
put_the_wine_bottle_on_the_rack_tb_18,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_18,
put_the_wine_bottle_on_the_rack_tb_19,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_19,
put_the_wine_bottle_on_the_rack_tb_20,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_20,
put_the_wine_bottle_on_the_rack_tb_21,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_21,
put_the_wine_bottle_on_the_rack_tb_22,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_22,
put_the_wine_bottle_on_the_rack_tb_3,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_3,
put_the_wine_bottle_on_the_rack_tb_4,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_4,
put_the_wine_bottle_on_the_rack_tb_5,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_5,
put_the_wine_bottle_on_the_rack_tb_6,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_6,
put_the_wine_bottle_on_the_rack_tb_8,put_the_wine_bottle_on_the_rack,Background Textures,,,,,,tb_8,
