task_name,base_task,category,layout
turn_on_the_stove_moved_level1_sample1,turn_on_the_stove_moved,Objects Layout,level1_sample1
turn_on_the_stove_moved_level1_sample2,turn_on_the_stove_moved,Objects Layout,level1_sample2
turn_on_the_stove_moved_level1_sample3,turn_on_the_stove_moved,Objects Layout,level1_sample3
turn_on_the_stove_moved_level1_sample4,turn_on_the_stove_moved,Objects Layout,level1_sample4
turn_on_the_stove_moved_level2_sample1,turn_on_the_stove_moved,Objects Layout,level2_sample1
turn_on_the_stove_moved_level2_sample2,turn_on_the_stove_moved,Objects Layout,level2_sample2
turn_on_the_stove_moved_level2_sample4,turn_on_the_stove_moved,Objects Layout,level2_sample4
turn_on_the_stove_moved_level3_sample1,turn_on_the_stove_moved,Objects Layout,level3_sample1
turn_on_the_stove_moved_level3_sample2,turn_on_the_stove_moved,Objects Layout,level3_sample2
turn_on_the_stove_moved_level3_sample3,turn_on_the_stove_moved,Objects Layout,level3_sample3
turn_on_the_stove_moved_level3_sample4,turn_on_the_stove_moved,Objects Layout,level3_sample4
turn_on_the_stove_moved_level4_sample1,turn_on_the_stove_moved,Objects Layout,level4_sample1
turn_on_the_stove_moved_level4_sample2,turn_on_the_stove_moved,Objects Layout,level4_sample2
turn_on_the_stove_moved_level4_sample3,turn_on_the_stove_moved,Objects Layout,level4_sample3
turn_on_the_stove_moved_level4_sample4,turn_on_the_stove_moved,Objects Layout,level4_sample4
turn_on_the_stove_moved_level5_sample1,turn_on_the_stove_moved,Objects Layout,level5_sample1
turn_on_the_stove_moved_level5_sample3,turn_on_the_stove_moved,Objects Layout,level5_sample3
turn_on_the_stove_moved_level5_sample4,turn_on_the_stove_moved,Objects Layout,level5_sample4
