task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_butter_and_place_it_in_the_basket_table_12,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_butter_and_place_it_in_the_basket_table_14,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_14,
pick_up_the_butter_and_place_it_in_the_basket_table_15,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_15,
pick_up_the_butter_and_place_it_in_the_basket_table_17,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_butter_and_place_it_in_the_basket_table_19,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_19,
pick_up_the_butter_and_place_it_in_the_basket_table_2,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_butter_and_place_it_in_the_basket_table_22,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_butter_and_place_it_in_the_basket_table_24,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_24,
pick_up_the_butter_and_place_it_in_the_basket_table_25,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_25,
pick_up_the_butter_and_place_it_in_the_basket_table_26,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_26,
pick_up_the_butter_and_place_it_in_the_basket_table_27,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_butter_and_place_it_in_the_basket_table_3,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_butter_and_place_it_in_the_basket_table_4,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_butter_and_place_it_in_the_basket_table_5,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_5,
pick_up_the_butter_and_place_it_in_the_basket_table_6,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_6,
pick_up_the_butter_and_place_it_in_the_basket_table_7,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_7,
pick_up_the_butter_and_place_it_in_the_basket_table_8,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_8,
pick_up_the_butter_and_place_it_in_the_basket_table_9,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,table_9,
pick_up_the_butter_and_place_it_in_the_basket_tb_19,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,tb_19,
pick_up_the_butter_and_place_it_in_the_basket_tb_21,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,tb_21,
pick_up_the_butter_and_place_it_in_the_basket_tb_22,pick_up_the_butter_and_place_it_in_the_basket,Background Textures,,,,,,,tb_22,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_17,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_17,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_47,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_47,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_67,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_67,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_77,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_77,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_107,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_107,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_117,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_117,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_127,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_127,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_137,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_137,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_147,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_147,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_157,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_157,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_167,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_167,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_177,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_177,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_197,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_197,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_207,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_207,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_217,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_217,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_237,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_237,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_247,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_247,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_257,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_257,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_267,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_267,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_277,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_277,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_287,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_287,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_297,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_297,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_307,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_307,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_317,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_317,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_327,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_327,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_337,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_337,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_347,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_347,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_357,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_357,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_367,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_367,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_377,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_377,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_387,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_387,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_397,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_397,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_407,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_407,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_417,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_417,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_427,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_427,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_437,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_437,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_447,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_447,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_457,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_457,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_467,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_467,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_477,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_477,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_487,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_487,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_497,pick_up_the_butter_and_place_it_in_the_basket,Robot Initial States,,initstate_497,,,,,,
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_161_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_161_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_162_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_162_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_163_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_163_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_164_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_164_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_165_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_165_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_166_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_166_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_167_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_167_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_168_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_168_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_169_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_169_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_170_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_170_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_2_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_2
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_4_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_4
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_6_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_6
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_10_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_10
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_350_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_350
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_352_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_352
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_354_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_354
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_356_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_356
pick_up_the_butter_and_place_it_in_the_basket_view_0_0_100_352_358_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_100_352_358
pick_up_the_butter_and_place_it_in_the_basket_view_300_0_100_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_300_0_100_0_0
pick_up_the_butter_and_place_it_in_the_basket_view_300_15_100_0_0_initstate_0,pick_up_the_butter_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_300_15_100_0_0
