task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_1,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_10,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_10,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_12,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_15,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_15,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_16,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_16,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_17,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_21,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_21,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_22,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_23,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_24,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_24,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_27,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_3,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_6,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_6,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_8,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,table_8,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_1,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_1,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_13,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_13,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_18,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_18,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_19,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_19,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_20,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_20,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_tb_9,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Background Textures,,,,,,,tb_9,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_99,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_99,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_129,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_129,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_139,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_139,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_149,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_149,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_159,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_159,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_209,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_209,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_219,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_219,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_229,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_229,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_239,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_239,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_249,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_249,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_269,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_269,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_279,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_279,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_289,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_289,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_299,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_299,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_309,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_309,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_319,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_319,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_329,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_329,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_339,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_339,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_349,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_349,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_359,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_359,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_369,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_369,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_379,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_379,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_389,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_389,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_399,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_399,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_409,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_409,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_419,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_419,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_429,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_429,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_439,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_439,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_449,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_449,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_459,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_459,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_469,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_469,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_479,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_479,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_489,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_489,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_499,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Robot Initial States,,initstate_499,,,,,,
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_181_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_181_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_182_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_182_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_183_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_183_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_184_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_184_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_185_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_185_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_186_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_186_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_187_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_187_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_188_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_188_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_189_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_189_0_0
pick_up_the_chocolate_pudding_and_place_it_in_the_basket_view_0_0_190_0_0_initstate_0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Camera Viewpoints,,,,,,,,view_0_0_190_0_0
