task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_cream_cheese_and_place_it_in_the_basket_table_1,pick_up_the_cream_cheese_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_cream_cheese_and_place_it_in_the_basket_table_24,pick_up_the_cream_cheese_and_place_it_in_the_basket,Background Textures,,,,,,,table_24,
pick_up_the_cream_cheese_and_place_it_in_the_basket_table_3,pick_up_the_cream_cheese_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_cream_cheese_and_place_it_in_the_basket_table_5,pick_up_the_cream_cheese_and_place_it_in_the_basket,Background Textures,,,,,,,table_5,
pick_up_the_cream_cheese_and_place_it_in_the_basket_table_7,pick_up_the_cream_cheese_and_place_it_in_the_basket,Background Textures,,,,,,,table_7,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_2,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_2,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_42,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_42,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_62,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_62,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_102,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_102,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_112,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_112,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_132,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_132,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_142,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_142,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_152,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_152,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_162,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_162,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_172,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_172,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_192,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_192,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_202,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_202,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_222,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_222,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_232,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_232,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_242,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_242,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_252,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_252,,,,,,
pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_262,pick_up_the_cream_cheese_and_place_it_in_the_basket,Robot Initial States,,initstate_262,,,,,,
