task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_ketchup_and_place_it_in_the_basket_table_1,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_ketchup_and_place_it_in_the_basket_table_10,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_10,
pick_up_the_ketchup_and_place_it_in_the_basket_table_12,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_ketchup_and_place_it_in_the_basket_table_13,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_13,
pick_up_the_ketchup_and_place_it_in_the_basket_table_19,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_19,
pick_up_the_ketchup_and_place_it_in_the_basket_table_4,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_ketchup_and_place_it_in_the_basket_tb_10,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_10,
pick_up_the_ketchup_and_place_it_in_the_basket_tb_2,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_2,
pick_up_the_ketchup_and_place_it_in_the_basket_tb_21,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_21,
pick_up_the_ketchup_and_place_it_in_the_basket_tb_22,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_22,
pick_up_the_ketchup_and_place_it_in_the_basket_tb_3,pick_up_the_ketchup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_3,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_45,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_45,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_65,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_65,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_95,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_95,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_115,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_115,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_135,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_135,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_145,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_145,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_155,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_155,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_175,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_175,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_185,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_185,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_205,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_205,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_225,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_225,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_235,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_235,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_245,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_245,,,,,,
pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_255,pick_up_the_ketchup_and_place_it_in_the_basket,Robot Initial States,,initstate_255,,,,,,
