task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_milk_and_place_it_in_the_basket_table_1,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_milk_and_place_it_in_the_basket_table_11,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_11,
pick_up_the_milk_and_place_it_in_the_basket_table_12,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_milk_and_place_it_in_the_basket_table_13,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_13,
pick_up_the_milk_and_place_it_in_the_basket_table_21,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_21,
pick_up_the_milk_and_place_it_in_the_basket_table_22,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_milk_and_place_it_in_the_basket_table_23,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_milk_and_place_it_in_the_basket_table_25,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_25,
pick_up_the_milk_and_place_it_in_the_basket_table_26,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_26,
pick_up_the_milk_and_place_it_in_the_basket_table_27,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_milk_and_place_it_in_the_basket_table_3,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_milk_and_place_it_in_the_basket_table_4,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_milk_and_place_it_in_the_basket_table_7,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_7,
pick_up_the_milk_and_place_it_in_the_basket_table_8,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_8,
pick_up_the_milk_and_place_it_in_the_basket_table_9,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,table_9,
pick_up_the_milk_and_place_it_in_the_basket_tb_1,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,tb_1,
pick_up_the_milk_and_place_it_in_the_basket_tb_10,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,tb_10,
pick_up_the_milk_and_place_it_in_the_basket_tb_11,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,tb_11,
pick_up_the_milk_and_place_it_in_the_basket_tb_12,pick_up_the_milk_and_place_it_in_the_basket,Background Textures,,,,,,,tb_12,
