task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_11,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_11,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_14,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_14,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_15,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_15,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_16,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_16,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_17,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_17,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_18,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_18,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_19,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_19,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_20,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_20,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_21,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_21,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_22,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_22,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_23,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_23,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_24,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_24,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_25,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_25,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_26,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_26,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_27,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_27,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_3,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_3,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_4,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_4,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_5,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_5,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_6,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_6,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_7,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_7,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_table_8,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,table_8,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_1,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_1,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_10,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_10,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_11,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_11,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_13,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_13,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_14,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_14,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_15,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_15,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_16,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_16,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_17,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_17,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_18,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_18,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_19,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_19,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_2,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_20,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_20,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_21,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_21,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_22,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_22,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_23,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_23,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_3,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_3,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_4,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_4,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_5,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_5,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_6,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_6,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_7,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_7,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_8,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_8,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_tb_9,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Background Textures,,,,,,,tb_9,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_13,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_13,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_23,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_23,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_43,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_43,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_83,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_83,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_103,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_103,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_123,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_123,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_133,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_133,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_153,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_153,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_173,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_173,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_183,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_183,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_193,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_193,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_203,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_203,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_223,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_223,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_233,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_233,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_253,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_253,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_273,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_273,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_283,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_283,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_293,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_293,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_303,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_303,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_313,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_313,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_323,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_323,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_333,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_333,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_343,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_343,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_353,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_353,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_363,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_363,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_373,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_373,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_383,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_383,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_403,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_403,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_413,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_413,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_423,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_423,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_433,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_433,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_453,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_453,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_473,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_473,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_483,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_483,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_493,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Robot Initial States,,initstate_493,,,,,,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_122_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_122_0_0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_125_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_125_0_0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_126_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_126_0_0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_127_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_127_0_0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_6_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_6
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_8_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_8
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_10_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_10
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_350_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_350
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_352_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_352
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_354_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_354
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_0_0_100_6_356_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_6_356
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_31_15_100_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_31_15_100_0_0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_view_32_15_100_0_0_initstate_0,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_32_15_100_0_0
