task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_10,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_10,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_3,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_3,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_table_9,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_9,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_tb_19,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_19,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_tb_20,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_20,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_tb_21,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_21,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_tb_3,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_3,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_42,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_42,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_62,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_62,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_102,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_102,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_112,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_112,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_132,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_132,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_142,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_142,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_152,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_152,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_162,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_162,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_192,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_192,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_202,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_202,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_212,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_212,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_222,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_222,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_232,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_232,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_242,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_242,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_252,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_252,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_262,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_262,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_272,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_272,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_282,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_282,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_292,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_292,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_302,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_302,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_312,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_312,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_322,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_322,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_332,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_332,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_342,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_342,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_352,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_352,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_362,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_362,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_372,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_372,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_382,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_382,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_392,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_392,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_402,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_402,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_412,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_412,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_422,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_422,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_432,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_432,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_452,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_452,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_462,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_462,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_472,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_472,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_482,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_482,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_492,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_492,,,,,,
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_115_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_115_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_119_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_119_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_120_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_120_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_6_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_6
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_8_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_8
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_10_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_10
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_350_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_350
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_352_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_352
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_4_354_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_0_0_100_4_354
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_16_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_16_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_17_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_17_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_17_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_17_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_18_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_18_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_18_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_18_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_19_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_19_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_19_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_19_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_20_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_20_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_20_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_20_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_21_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_21_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_21_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_21_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_22_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_22_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_22_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_22_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_23_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_23_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_23_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_23_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_24_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_24_0_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_24_15_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_24_15_100_0_0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_25_0_100_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,Camera Viewpoints,,,,,,,,view_25_0_100_0_0
