task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_10,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_10,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_15,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_15,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_16,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_16,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_17,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_17,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_18,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_18,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_19,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_19,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_2,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_2,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_20,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_20,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_23,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_23,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_24,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_24,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_25,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_25,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_26,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_26,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_3,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_3,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_5,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_6,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_6,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_8,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_8,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_table_9,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_9,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_1,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_1,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_11,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_11,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_14,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_14,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_16,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_16,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_17,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_17,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_18,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_18,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_19,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_19,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_22,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_22,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_3,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_3,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_4,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_4,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_5,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_6,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_6,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_8,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_8,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_tb_9,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_9,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_16,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_16,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_106,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_106,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_116,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_116,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_126,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_126,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_136,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_136,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_146,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_146,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_196,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_196,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_206,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_206,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_226,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_226,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_236,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_236,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_246,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_246,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_266,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_266,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_276,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_276,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_296,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_296,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_306,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_306,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_316,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_316,,,,,,
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_326,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,Robot Initial States,,initstate_326,,,,,,
