task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_14,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_14,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_17,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_17,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_2,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_2,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_23,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_23,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_27,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_27,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_28,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_28,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_3,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_3,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_table_4,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,table_4,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_tb_1,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,tb_1,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_tb_17,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,tb_17,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_tb_2,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,tb_2,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_tb_6,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Background Textures,,,,,,,tb_6,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_10,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_10,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_50,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_50,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_80,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_80,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_90,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_90,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_100,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_100,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_110,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_110,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_120,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_120,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_130,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_130,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_140,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_140,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_150,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_150,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_160,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_160,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_190,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_190,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_200,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_200,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_220,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_220,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_230,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_230,,,,,,
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_240,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,Robot Initial States,,initstate_240,,,,,,
