task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_1,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_10,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_12,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_12,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_13,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_13,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_14,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_14,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_15,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_15,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_16,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_16,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_17,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_17,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_18,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_18,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_19,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_19,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_2,
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_20,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Background Textures,,,,,,,table_20,
