task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_12,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_12,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_14,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_14,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_15,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_15,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_17,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_17,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_19,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_19,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_2,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_2,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_22,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_22,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_23,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_23,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_24,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_24,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_25,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_25,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_26,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_26,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_27,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_27,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_28,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_28,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_3,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_3,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_4,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_5,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_5,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_6,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_6,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_7,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_7,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_8,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_8,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_table_9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,table_9,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_11,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_11,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_15,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_15,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_16,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_16,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_18,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_18,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_20,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_20,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_21,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_21,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_7,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_7,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_tb_9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Background Textures,,,,,,,tb_9,
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_10,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_10,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_20,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_20,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_30,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_30,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_40,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_40,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_60,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_60,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_70,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_70,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_90,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_90,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_100,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_100,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_120,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_120,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_130,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_130,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_150,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_150,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_160,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_160,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_170,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_170,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_180,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_180,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_210,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_210,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_220,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_220,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_240,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_240,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_250,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_250,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_260,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_260,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_270,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_270,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_290,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_290,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_300,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_300,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_310,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_310,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_320,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_320,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_330,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_330,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_340,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_340,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_350,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_350,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_360,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_360,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_370,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_370,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_380,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_380,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_390,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_390,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_400,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_400,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_410,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_410,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_420,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_420,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_430,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_430,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_440,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_440,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_450,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_450,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_460,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_460,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_470,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_470,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_480,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_480,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_490,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_490,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_0_0_initstate_500,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Robot Initial States,,initstate_500,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_191_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_192_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_193_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_194_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_195_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_196_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_197_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_198_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_199_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_200_0_0_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_358_2_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_358_4_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_358_6_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_0_0_100_358_8_initstate_0,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Camera Viewpoints,,initstate_0,,,,,,view_0
