task_name,base_task,category,add,initstate,language,light,noise,table,view
open_the_top_drawer_and_put_the_bowl_inside_table_1,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_1,
open_the_top_drawer_and_put_the_bowl_inside_table_11,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_11,
open_the_top_drawer_and_put_the_bowl_inside_table_12,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_12,
open_the_top_drawer_and_put_the_bowl_inside_table_13,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_13,
open_the_top_drawer_and_put_the_bowl_inside_table_14,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_14,
open_the_top_drawer_and_put_the_bowl_inside_table_15,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_15,
open_the_top_drawer_and_put_the_bowl_inside_table_16,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_16,
open_the_top_drawer_and_put_the_bowl_inside_table_17,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_17,
open_the_top_drawer_and_put_the_bowl_inside_table_18,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_18,
open_the_top_drawer_and_put_the_bowl_inside_table_19,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_19,
open_the_top_drawer_and_put_the_bowl_inside_table_2,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_2,
open_the_top_drawer_and_put_the_bowl_inside_table_20,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_20,
open_the_top_drawer_and_put_the_bowl_inside_table_21,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_21,
open_the_top_drawer_and_put_the_bowl_inside_table_22,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_22,
open_the_top_drawer_and_put_the_bowl_inside_table_23,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_23,
open_the_top_drawer_and_put_the_bowl_inside_table_24,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_24,
open_the_top_drawer_and_put_the_bowl_inside_table_25,open_the_top_drawer_and_put_the_bowl_inside,Background Textures,,,,,,table_25,
