task_name,base_task,category,add,initstate,language,light,noise,table,view
put_the_bowl_on_the_plate_table_1,put_the_bowl_on_the_plate,Background Textures,,,,,,table_1,
put_the_bowl_on_the_plate_table_10,put_the_bowl_on_the_plate,Background Textures,,,,,,table_10,
put_the_bowl_on_the_plate_table_12,put_the_bowl_on_the_plate,Background Textures,,,,,,table_12,
put_the_bowl_on_the_plate_table_13,put_the_bowl_on_the_plate,Background Textures,,,,,,table_13,
put_the_bowl_on_the_plate_table_15,put_the_bowl_on_the_plate,Background Textures,,,,,,table_15,
put_the_bowl_on_the_plate_table_16,put_the_bowl_on_the_plate,Background Textures,,,,,,table_16,
put_the_bowl_on_the_plate_table_17,put_the_bowl_on_the_plate,Background Textures,,,,,,table_17,
put_the_bowl_on_the_plate_table_2,put_the_bowl_on_the_plate,Background Textures,,,,,,table_2,
put_the_bowl_on_the_plate_table_21,put_the_bowl_on_the_plate,Background Textures,,,,,,table_21,
put_the_bowl_on_the_plate_table_22,put_the_bowl_on_the_plate,Background Textures,,,,,,table_22,
put_the_bowl_on_the_plate_table_23,put_the_bowl_on_the_plate,Background Textures,,,,,,table_23,
put_the_bowl_on_the_plate_table_24,put_the_bowl_on_the_plate,Background Textures,,,,,,table_24,
put_the_bowl_on_the_plate_table_27,put_the_bowl_on_the_plate,Background Textures,,,,,,table_27,
put_the_bowl_on_the_plate_table_3,put_the_bowl_on_the_plate,Background Textures,,,,,,table_3,
put_the_bowl_on_the_plate_table_4,put_the_bowl_on_the_plate,Background Textures,,,,,,table_4,
put_the_bowl_on_the_plate_table_6,put_the_bowl_on_the_plate,Background Textures,,,,,,table_6,
put_the_bowl_on_the_plate_table_8,put_the_bowl_on_the_plate,Background Textures,,,,,,table_8,
put_the_bowl_on_the_plate_tb_1,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_1,
put_the_bowl_on_the_plate_tb_11,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_11,
put_the_bowl_on_the_plate_tb_13,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_13,
put_the_bowl_on_the_plate_tb_15,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_15,
put_the_bowl_on_the_plate_tb_16,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_16,
put_the_bowl_on_the_plate_tb_18,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_18,
put_the_bowl_on_the_plate_tb_19,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_19,
put_the_bowl_on_the_plate_tb_2,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_2,
put_the_bowl_on_the_plate_tb_20,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_20,
put_the_bowl_on_the_plate_tb_21,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_21,
put_the_bowl_on_the_plate_tb_22,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_22,
put_the_bowl_on_the_plate_tb_3,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_3,
put_the_bowl_on_the_plate_tb_9,put_the_bowl_on_the_plate,Background Textures,,,,,,tb_9,
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_19,put_the_bowl_on_the_plate,Robot Initial States,,initstate_19,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_69,put_the_bowl_on_the_plate,Robot Initial States,,initstate_69,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_89,put_the_bowl_on_the_plate,Robot Initial States,,initstate_89,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_109,put_the_bowl_on_the_plate,Robot Initial States,,initstate_109,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_119,put_the_bowl_on_the_plate,Robot Initial States,,initstate_119,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_129,put_the_bowl_on_the_plate,Robot Initial States,,initstate_129,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_139,put_the_bowl_on_the_plate,Robot Initial States,,initstate_139,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_149,put_the_bowl_on_the_plate,Robot Initial States,,initstate_149,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_159,put_the_bowl_on_the_plate,Robot Initial States,,initstate_159,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_169,put_the_bowl_on_the_plate,Robot Initial States,,initstate_169,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_199,put_the_bowl_on_the_plate,Robot Initial States,,initstate_199,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_209,put_the_bowl_on_the_plate,Robot Initial States,,initstate_209,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_219,put_the_bowl_on_the_plate,Robot Initial States,,initstate_219,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_229,put_the_bowl_on_the_plate,Robot Initial States,,initstate_229,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_239,put_the_bowl_on_the_plate,Robot Initial States,,initstate_239,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_249,put_the_bowl_on_the_plate,Robot Initial States,,initstate_249,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_259,put_the_bowl_on_the_plate,Robot Initial States,,initstate_259,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_269,put_the_bowl_on_the_plate,Robot Initial States,,initstate_269,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_279,put_the_bowl_on_the_plate,Robot Initial States,,initstate_279,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_289,put_the_bowl_on_the_plate,Robot Initial States,,initstate_289,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_299,put_the_bowl_on_the_plate,Robot Initial States,,initstate_299,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_309,put_the_bowl_on_the_plate,Robot Initial States,,initstate_309,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_319,put_the_bowl_on_the_plate,Robot Initial States,,initstate_319,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_329,put_the_bowl_on_the_plate,Robot Initial States,,initstate_329,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_369,put_the_bowl_on_the_plate,Robot Initial States,,initstate_369,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_379,put_the_bowl_on_the_plate,Robot Initial States,,initstate_379,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_389,put_the_bowl_on_the_plate,Robot Initial States,,initstate_389,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_409,put_the_bowl_on_the_plate,Robot Initial States,,initstate_409,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_419,put_the_bowl_on_the_plate,Robot Initial States,,initstate_419,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_429,put_the_bowl_on_the_plate,Robot Initial States,,initstate_429,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_439,put_the_bowl_on_the_plate,Robot Initial States,,initstate_439,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_449,put_the_bowl_on_the_plate,Robot Initial States,,initstate_449,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_459,put_the_bowl_on_the_plate,Robot Initial States,,initstate_459,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_469,put_the_bowl_on_the_plate,Robot Initial States,,initstate_469,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_479,put_the_bowl_on_the_plate,Robot Initial States,,initstate_479,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_489,put_the_bowl_on_the_plate,Robot Initial States,,initstate_489,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_0_0_initstate_499,put_the_bowl_on_the_plate,Robot Initial States,,initstate_499,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_181_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_182_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_183_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_184_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_185_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_186_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_187_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_188_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_189_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_190_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_356_8_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_356_10_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_0_0_100_356_352_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_0
put_the_bowl_on_the_plate_view_330_0_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_330
put_the_bowl_on_the_plate_view_330_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_330
put_the_bowl_on_the_plate_view_332_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_332
put_the_bowl_on_the_plate_view_333_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_333
put_the_bowl_on_the_plate_view_334_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_334
put_the_bowl_on_the_plate_view_335_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_335
put_the_bowl_on_the_plate_view_336_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_336
put_the_bowl_on_the_plate_view_337_0_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_337
put_the_bowl_on_the_plate_view_337_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_337
put_the_bowl_on_the_plate_view_338_0_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_338
put_the_bowl_on_the_plate_view_338_15_100_0_0_initstate_0,put_the_bowl_on_the_plate,Camera Viewpoints,,initstate_0,,,,,view_338
