task_name,base_task,category,add,initstate,language,light,noise,table,view
put_the_bowl_on_the_stove_table_1,put_the_bowl_on_the_stove,Background Textures,,,,,,table_1,
put_the_bowl_on_the_stove_table_24,put_the_bowl_on_the_stove,Background Textures,,,,,,table_24,
put_the_bowl_on_the_stove_table_3,put_the_bowl_on_the_stove,Background Textures,,,,,,table_3,
put_the_bowl_on_the_stove_table_4,put_the_bowl_on_the_stove,Background Textures,,,,,,table_4,
put_the_bowl_on_the_stove_table_5,put_the_bowl_on_the_stove,Background Textures,,,,,,table_5,
put_the_bowl_on_the_stove_table_7,put_the_bowl_on_the_stove,Background Textures,,,,,,table_7,
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_2,put_the_bowl_on_the_stove,Robot Initial States,,initstate_2,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_42,put_the_bowl_on_the_stove,Robot Initial States,,initstate_42,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_62,put_the_bowl_on_the_stove,Robot Initial States,,initstate_62,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_102,put_the_bowl_on_the_stove,Robot Initial States,,initstate_102,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_112,put_the_bowl_on_the_stove,Robot Initial States,,initstate_112,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_132,put_the_bowl_on_the_stove,Robot Initial States,,initstate_132,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_142,put_the_bowl_on_the_stove,Robot Initial States,,initstate_142,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_152,put_the_bowl_on_the_stove,Robot Initial States,,initstate_152,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_172,put_the_bowl_on_the_stove,Robot Initial States,,initstate_172,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_212,put_the_bowl_on_the_stove,Robot Initial States,,initstate_212,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_222,put_the_bowl_on_the_stove,Robot Initial States,,initstate_222,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_232,put_the_bowl_on_the_stove,Robot Initial States,,initstate_232,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_242,put_the_bowl_on_the_stove,Robot Initial States,,initstate_242,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_252,put_the_bowl_on_the_stove,Robot Initial States,,initstate_252,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_262,put_the_bowl_on_the_stove,Robot Initial States,,initstate_262,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_272,put_the_bowl_on_the_stove,Robot Initial States,,initstate_272,,,,,view_0
put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_282,put_the_bowl_on_the_stove,Robot Initial States,,initstate_282,,,,,view_0
