task_name,base_task,category,layout
put_the_cream_cheese_in_the_bowl_moved_level1_sample1,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level1_sample1
put_the_cream_cheese_in_the_bowl_moved_level1_sample2,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level1_sample2
put_the_cream_cheese_in_the_bowl_moved_level1_sample4,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level1_sample4
put_the_cream_cheese_in_the_bowl_moved_level2_sample1,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level2_sample1
put_the_cream_cheese_in_the_bowl_moved_level2_sample2,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level2_sample2
put_the_cream_cheese_in_the_bowl_moved_level2_sample3,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level2_sample3
put_the_cream_cheese_in_the_bowl_moved_level2_sample4,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level2_sample4
put_the_cream_cheese_in_the_bowl_moved_level3_sample1,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level3_sample1
put_the_cream_cheese_in_the_bowl_moved_level3_sample2,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level3_sample2
put_the_cream_cheese_in_the_bowl_moved_level3_sample3,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level3_sample3
put_the_cream_cheese_in_the_bowl_moved_level3_sample4,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level3_sample4
put_the_cream_cheese_in_the_bowl_moved_level4_sample1,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level4_sample1
put_the_cream_cheese_in_the_bowl_moved_level4_sample2,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level4_sample2
put_the_cream_cheese_in_the_bowl_moved_level4_sample3,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level4_sample3
put_the_cream_cheese_in_the_bowl_moved_level5_sample1,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level5_sample1
put_the_cream_cheese_in_the_bowl_moved_level5_sample2,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level5_sample2
put_the_cream_cheese_in_the_bowl_moved_level5_sample3,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level5_sample3
put_the_cream_cheese_in_the_bowl_moved_level5_sample4,put_the_cream_cheese_in_the_bowl_moved,Objects Layout,level5_sample4
