task_name,base_task,category,add,initstate,language,light,noise,table,view
turn_on_the_stove_table_1,turn_on_the_stove,Background Textures,,,,,,table_1,
turn_on_the_stove_table_17,turn_on_the_stove,Background Textures,,,,,,table_17,
turn_on_the_stove_table_2,turn_on_the_stove,Background Textures,,,,,,table_2,
turn_on_the_stove_table_23,turn_on_the_stove,Background Textures,,,,,,table_23,
turn_on_the_stove_table_3,turn_on_the_stove,Background Textures,,,,,,table_3,
turn_on_the_stove_table_4,turn_on_the_stove,Background Textures,,,,,,table_4,
turn_on_the_stove_table_5,turn_on_the_stove,Background Textures,,,,,,table_5,
turn_on_the_stove_tb_13,turn_on_the_stove,Background Textures,,,,,,tb_13,
turn_on_the_stove_tb_18,turn_on_the_stove,Background Textures,,,,,,tb_18,
turn_on_the_stove_tb_20,turn_on_the_stove,Background Textures,,,,,,tb_20,
turn_on_the_stove_tb_6,turn_on_the_stove,Background Textures,,,,,,tb_6,
turn_on_the_stove_view_0_0_100_0_0_initstate_8,turn_on_the_stove,Robot Initial States,,initstate_8,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_58,turn_on_the_stove,Robot Initial States,,initstate_58,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_118,turn_on_the_stove,Robot Initial States,,initstate_118,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_128,turn_on_the_stove,Robot Initial States,,initstate_128,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_148,turn_on_the_stove,Robot Initial States,,initstate_148,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_158,turn_on_the_stove,Robot Initial States,,initstate_158,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_168,turn_on_the_stove,Robot Initial States,,initstate_168,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_178,turn_on_the_stove,Robot Initial States,,initstate_178,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_188,turn_on_the_stove,Robot Initial States,,initstate_188,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_198,turn_on_the_stove,Robot Initial States,,initstate_198,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_208,turn_on_the_stove,Robot Initial States,,initstate_208,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_218,turn_on_the_stove,Robot Initial States,,initstate_218,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_238,turn_on_the_stove,Robot Initial States,,initstate_238,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_248,turn_on_the_stove,Robot Initial States,,initstate_248,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_258,turn_on_the_stove,Robot Initial States,,initstate_258,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_268,turn_on_the_stove,Robot Initial States,,initstate_268,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_278,turn_on_the_stove,Robot Initial States,,initstate_278,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_288,turn_on_the_stove,Robot Initial States,,initstate_288,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_298,turn_on_the_stove,Robot Initial States,,initstate_298,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_308,turn_on_the_stove,Robot Initial States,,initstate_308,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_318,turn_on_the_stove,Robot Initial States,,initstate_318,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_328,turn_on_the_stove,Robot Initial States,,initstate_328,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_338,turn_on_the_stove,Robot Initial States,,initstate_338,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_358,turn_on_the_stove,Robot Initial States,,initstate_358,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_368,turn_on_the_stove,Robot Initial States,,initstate_368,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_378,turn_on_the_stove,Robot Initial States,,initstate_378,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_388,turn_on_the_stove,Robot Initial States,,initstate_388,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_398,turn_on_the_stove,Robot Initial States,,initstate_398,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_408,turn_on_the_stove,Robot Initial States,,initstate_408,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_418,turn_on_the_stove,Robot Initial States,,initstate_418,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_428,turn_on_the_stove,Robot Initial States,,initstate_428,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_438,turn_on_the_stove,Robot Initial States,,initstate_438,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_448,turn_on_the_stove,Robot Initial States,,initstate_448,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_458,turn_on_the_stove,Robot Initial States,,initstate_458,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_468,turn_on_the_stove,Robot Initial States,,initstate_468,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_478,turn_on_the_stove,Robot Initial States,,initstate_478,,,,,view_0
turn_on_the_stove_view_0_0_100_0_0_initstate_488,turn_on_the_stove,Robot Initial States,,initstate_488,,,,,view_0
