task_name,base_task,category,add,initstate,language,light,noise,table,view,layout
open_the_middle_drawer_of_the_cabinet_table_1,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_1,,
open_the_middle_drawer_of_the_cabinet_table_10,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_10,,
open_the_middle_drawer_of_the_cabinet_table_12,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_12,,
open_the_middle_drawer_of_the_cabinet_table_13,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_13,,
open_the_middle_drawer_of_the_cabinet_table_15,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_15,,
open_the_middle_drawer_of_the_cabinet_table_16,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_16,,
open_the_middle_drawer_of_the_cabinet_table_17,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_17,,
open_the_middle_drawer_of_the_cabinet_table_18,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_18,,
open_the_middle_drawer_of_the_cabinet_table_19,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_19,,
open_the_middle_drawer_of_the_cabinet_table_2,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_2,,
open_the_middle_drawer_of_the_cabinet_table_21,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_21,,
open_the_middle_drawer_of_the_cabinet_table_22,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_22,,
open_the_middle_drawer_of_the_cabinet_table_24,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_24,,
open_the_middle_drawer_of_the_cabinet_table_27,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_27,,
open_the_middle_drawer_of_the_cabinet_table_28,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_28,,
open_the_middle_drawer_of_the_cabinet_table_4,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_4,,
open_the_middle_drawer_of_the_cabinet_table_5,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_5,,
open_the_middle_drawer_of_the_cabinet_table_8,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,table_8,,
open_the_middle_drawer_of_the_cabinet_tb_10,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_10,,
open_the_middle_drawer_of_the_cabinet_tb_12,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_12,,
open_the_middle_drawer_of_the_cabinet_tb_18,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_18,,
open_the_middle_drawer_of_the_cabinet_tb_2,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_2,,
open_the_middle_drawer_of_the_cabinet_tb_20,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_20,,
open_the_middle_drawer_of_the_cabinet_tb_21,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_21,,
open_the_middle_drawer_of_the_cabinet_tb_22,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_22,,
open_the_middle_drawer_of_the_cabinet_tb_5,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_5,,
open_the_middle_drawer_of_the_cabinet_tb_6,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_6,,
open_the_middle_drawer_of_the_cabinet_tb_7,open_the_middle_drawer_of_the_cabinet,Background Textures,,,,,,tb_7,,
