task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_11,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_11,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_12,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_13,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_13,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_14,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_14,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_15,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_15,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_16,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_16,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_17,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_18,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_18,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_19,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_19,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_20,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_20,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_21,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_21,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_22,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_23,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_24,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_24,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_25,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_25,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_26,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_26,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_27,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_28,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_28,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_5,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_5,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_6,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_6,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_7,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_7,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_9,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_9,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_1,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_10,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_10,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_11,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_11,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_12,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_12,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_13,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_13,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_14,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_14,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_15,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_15,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_16,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_16,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_17,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_17,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_18,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_18,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_19,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_19,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_2,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_21,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_21,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_22,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_22,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_3,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_4,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_5,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_5,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_6,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_6,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_7,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_7,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_8,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_8,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_9,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_9,
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_4,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_74,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_74,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_114,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_114,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_124,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_124,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_144,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_144,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_154,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_154,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_164,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_164,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_184,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_184,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_194,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_194,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_204,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_204,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_214,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_214,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_224,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_224,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_234,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_234,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_254,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_254,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_264,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_264,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_274,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_274,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_284,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_284,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_294,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_294,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_304,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_304,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_314,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_314,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_324,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_324,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_334,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_334,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_344,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_344,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_354,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_354,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_364,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_364,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_374,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_374,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_384,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_384,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_394,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_394,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_404,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_404,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_414,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_414,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_424,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_424,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_434,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_434,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_444,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_444,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_454,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_454,,,,,,view_0
pick_up_the_bbq_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_464,pick_up_the_bbq_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_464,,,,,,view_0
