task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_orange_juice_and_place_it_in_the_basket_table_1,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_10,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_10,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_11,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_11,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_12,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_14,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_14,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_16,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_16,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_17,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_18,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_18,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_19,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_19,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_2,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_20,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_20,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_22,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_23,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_25,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_25,
pick_up_the_orange_juice_and_place_it_in_the_basket_table_28,pick_up_the_orange_juice_and_place_it_in_the_basket,Background Textures,,,,,,,table_28,
