task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_1,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_15,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_15,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_2,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_21,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_21,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_22,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_23,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_3,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_4,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_6,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_6,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_7,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_7,
pick_up_the_salad_dressing_and_place_it_in_the_basket_table_9,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,table_9,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_1,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_1,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_12,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_12,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_13,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_13,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_15,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_15,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_16,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_16,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_18,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_18,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_2,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_2,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_23,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_23,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_3,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_3,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_4,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_4,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_5,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_5,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_6,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_6,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_8,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_8,
pick_up_the_salad_dressing_and_place_it_in_the_basket_tb_9,pick_up_the_salad_dressing_and_place_it_in_the_basket,Background Textures,,,,,,,tb_9,
pick_up_the_salad_dressing_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_3,pick_up_the_salad_dressing_and_place_it_in_the_basket,Robot Initial States,,initstate_3,,,,,,view_0
pick_up_the_salad_dressing_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_23,pick_up_the_salad_dressing_and_place_it_in_the_basket,Robot Initial States,,initstate_23,,,,,,view_0
pick_up_the_salad_dressing_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_63,pick_up_the_salad_dressing_and_place_it_in_the_basket,Robot Initial States,,initstate_63,,,,,,view_0
pick_up_the_salad_dressing_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_73,pick_up_the_salad_dressing_and_place_it_in_the_basket,Robot Initial States,,initstate_73,,,,,,view_0
