task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_1,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_14,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_14,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_17,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_2,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_23,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_23,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_27,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_28,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_28,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_3,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_3,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_table_4,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,table_4,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_tb_1,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_1,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_tb_12,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_12,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_tb_2,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_2,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_tb_6,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Background Textures,,,,,,,tb_6,
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_6,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_6,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_16,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_16,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_106,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_106,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_126,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_126,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_136,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_136,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_146,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_146,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_156,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_156,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_176,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_176,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_186,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_186,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_196,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_196,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_206,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_206,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_216,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_216,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_226,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_226,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_236,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_236,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_246,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_246,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_256,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_256,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_266,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_266,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_276,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_276,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_286,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_286,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_296,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_296,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_306,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_306,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_316,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_316,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_326,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_326,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_346,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_346,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_356,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_356,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_366,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_366,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_376,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_376,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_386,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_386,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_396,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_396,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_406,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_406,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_416,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_416,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_426,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_426,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_436,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_436,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_446,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_446,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_456,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_456,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_466,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_466,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_476,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_476,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_496,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Robot Initial States,,initstate_496,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_151_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_152_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_153_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_154_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_155_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_156_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_157_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_158_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_159_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_160_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_2_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_4_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_6_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_8_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_10_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_350_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_352_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_354_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_356_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_350_358_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_285_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_285
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_285_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_285
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_286_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_286
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_286_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_286
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_287_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_287
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_287_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_287
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_288_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_288
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_288_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_288
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_289_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_289
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_289_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_289
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_290_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_290
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_290_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_290
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_291_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_291
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_291_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_291
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_292_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_292
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_292_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_292
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_293_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_293
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_293_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_293
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_294_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_294
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_294_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_294
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_295_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_295
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_295_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_295
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_296_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_296
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_296_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_296
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_297_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_297
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_297_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_297
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_298_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_298
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_298_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_298
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_299_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_299
pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_299_15_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Camera Viewpoints,,initstate_0,,,,,,view_299
pick_up_the_tomato_sauce_and_place_it_in_the_basket_language_1_view_0_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Language Instructions,,initstate_0,language_1,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_language_2_view_0_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Language Instructions,,initstate_0,language_2,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_language_3_view_0_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Language Instructions,,initstate_0,language_3,,,,,view_0
pick_up_the_tomato_sauce_and_place_it_in_the_basket_language_5_view_0_0_100_0_0_initstate_0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Language Instructions,,initstate_0,language_5,,,,,view_0
