task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_1,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_1,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_10,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_10,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_12,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_12,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_13,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_13,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_14,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_14,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_15,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_15,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_16,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_16,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_17,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_17,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_18,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_18,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_19,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_19,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_2,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_20,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_20,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_21,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_21,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_22,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_22,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_24,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_24,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_27,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_27,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_28,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_28,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_5,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_5,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_8,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_8,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_9,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,table_9,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_10,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_10,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_12,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_12,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_18,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_18,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_2,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_20,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_20,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_21,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_21,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_22,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_22,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_5,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_5,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_6,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_6,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_7,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_7,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_8,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_8,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_9,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Background Textures,,,,,,,tb_9,
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_11,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_11,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_51,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_51,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_71,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_71,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_81,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_81,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_101,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_101,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_121,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_121,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_131,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_131,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_141,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_141,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_161,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_161,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_171,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_171,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_181,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_181,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_191,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_191,,,,,,view_0
pick_up_the_alphabet_soup_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_201,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Robot Initial States,,initstate_201,,,,,,view_0
