task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_10,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_10,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_14,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_14,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_15,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_15,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_16,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_16,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_17,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_17,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_18,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_18,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_19,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_19,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_2,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_21,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_21,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_22,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_22,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_24,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_24,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_27,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_27,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_28,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_28,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_5,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_5,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_8,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_8,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_9,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,table_9,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_tb_18,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_18,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_tb_2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_2,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_tb_20,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,Background Textures,,,,,,,tb_20,
