task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_10,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_10,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_21,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_21,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_22,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_22,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_23,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_23,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_table_9,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_9,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_10,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_10,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_14,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_14,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_15,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_15,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_17,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_17,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_18,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_18,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_19,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_19,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_2,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_2,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_20,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_20,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_21,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_21,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_3,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_3,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_tb_9,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_9,
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_17,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_17,,,,,,view_0
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_47,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_47,,,,,,view_0
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_107,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_107,,,,,,view_0
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_117,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_117,,,,,,view_0
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_147,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_147,,,,,,view_0
