task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_1,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_1,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_16,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_16,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_24,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_24,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_3,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_3,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_table_7,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Background Textures,,,,,,,table_7,
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_19,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_19,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_89,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_89,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_99,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_99,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_109,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_109,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_119,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_119,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_129,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_129,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_139,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_139,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_149,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_149,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_159,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_159,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_169,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_169,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_189,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_189,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_199,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_199,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_229,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_229,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_239,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_239,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_249,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_249,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_259,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_259,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_269,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_269,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_279,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_279,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_289,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_289,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_299,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_299,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_309,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_309,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_319,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_319,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_329,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_329,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_339,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_339,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_349,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_349,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_359,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_359,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_379,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_379,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_389,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_389,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_399,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_399,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_409,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_409,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_419,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_419,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_429,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_429,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_439,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_439,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_459,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_459,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_469,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_469,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_489,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_489,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_499,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Robot Initial States,,initstate_499,,,,,,view_0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_181_0_0_initstate_0,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
