task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_11,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_11,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_12,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_12,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_13,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_13,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_16,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_16,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_22,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_22,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_23,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_23,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_25,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_25,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_26,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_26,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_27,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_27,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_4,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_4,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_table_5,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,table_5,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_1,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_1,
